Fold,Scenario,Model,model__n_estimators,model__min_samples_split,model__max_depth,model__learning_rate,model__weights,model__n_neighbors,model__solver,model__C
13,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
13,A_Baseline,KNN,,,,,distance,9.0,,
13,B_Fidelity,KNN,,,,,distance,9.0,,
13,C_Scale,KNN,,,,,distance,9.0,,
13,D_Augment_0.5,KNN,,,,,distance,9.0,,
13,D_Augment_1.0,KNN,,,,,uniform,3.0,,
13,D_Augment_2.0,KNN,,,,,distance,9.0,,
13,D_Augment_4.0,KNN,,,,,distance,7.0,,
13,A_Baseline,LR,,,,,,,liblinear,1.0
13,B_Fidelity,LR,,,,,,,liblinear,1.0
13,C_Scale,LR,,,,,,,liblinear,0.1
13,D_Augment_0.5,LR,,,,,,,liblinear,1.0
13,D_Augment_1.0,LR,,,,,,,lbfgs,0.1
13,D_Augment_2.0,LR,,,,,,,liblinear,0.1
13,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
14,A_Baseline,RF,200.0,5.0,,,,,,
14,B_Fidelity,RF,200.0,5.0,,,,,,
14,C_Scale,RF,200.0,2.0,10.0,,,,,
14,D_Augment_0.5,RF,50.0,2.0,,,,,,
14,D_Augment_1.0,RF,200.0,2.0,10.0,,,,,
14,D_Augment_2.0,RF,200.0,2.0,10.0,,,,,
14,D_Augment_4.0,RF,200.0,5.0,,,,,,
14,A_Baseline,XGB,50.0,,5.0,0.1,,,,
14,B_Fidelity,XGB,50.0,,3.0,0.01,,,,
14,C_Scale,XGB,100.0,,3.0,0.01,,,,
14,D_Augment_0.5,XGB,50.0,,5.0,0.1,,,,
14,D_Augment_1.0,XGB,100.0,,3.0,0.01,,,,
14,D_Augment_2.0,XGB,100.0,,3.0,0.01,,,,
14,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
14,A_Baseline,KNN,,,,,distance,9.0,,
14,B_Fidelity,KNN,,,,,uniform,5.0,,
14,C_Scale,KNN,,,,,distance,9.0,,
14,D_Augment_0.5,KNN,,,,,distance,9.0,,
14,D_Augment_1.0,KNN,,,,,distance,7.0,,
14,D_Augment_2.0,KNN,,,,,distance,9.0,,
14,D_Augment_4.0,KNN,,,,,uniform,5.0,,
14,A_Baseline,LR,,,,,,,liblinear,0.1
14,B_Fidelity,LR,,,,,,,liblinear,1.0
14,C_Scale,LR,,,,,,,liblinear,0.1
14,D_Augment_0.5,LR,,,,,,,liblinear,1.0
14,D_Augment_1.0,LR,,,,,,,liblinear,1.0
14,D_Augment_2.0,LR,,,,,,,liblinear,0.1
14,D_Augment_4.0,LR,,,,,,,lbfgs,0.1
15,A_Baseline,RF,200.0,5.0,,,,,,
15,B_Fidelity,RF,100.0,2.0,,,,,,
15,C_Scale,RF,50.0,5.0,,,,,,
15,D_Augment_0.5,RF,200.0,5.0,,,,,,
15,D_Augment_1.0,RF,50.0,5.0,,,,,,
15,D_Augment_2.0,RF,50.0,5.0,,,,,,
15,D_Augment_4.0,RF,200.0,5.0,,,,,,
15,A_Baseline,XGB,50.0,,5.0,0.1,,,,
15,B_Fidelity,XGB,50.0,,5.0,0.1,,,,
15,C_Scale,XGB,100.0,,3.0,0.01,,,,
15,D_Augment_0.5,XGB,50.0,,5.0,0.1,,,,
15,D_Augment_1.0,XGB,100.0,,5.0,0.01,,,,
15,D_Augment_2.0,XGB,50.0,,3.0,0.01,,,,
15,D_Augment_4.0,XGB,50.0,,5.0,0.1,,,,
15,A_Baseline,KNN,,,,,distance,3.0,,
15,B_Fidelity,KNN,,,,,distance,9.0,,
15,C_Scale,KNN,,,,,distance,9.0,,
15,D_Augment_0.5,KNN,,,,,uniform,3.0,,
15,D_Augment_1.0,KNN,,,,,distance,3.0,,
15,D_Augment_2.0,KNN,,,,,distance,3.0,,
15,D_Augment_4.0,KNN,,,,,distance,9.0,,
15,A_Baseline,LR,,,,,,,liblinear,1.0
15,B_Fidelity,LR,,,,,,,lbfgs,10.0
15,C_Scale,LR,,,,,,,lbfgs,0.1
15,D_Augment_0.5,LR,,,,,,,liblinear,0.1
15,D_Augment_1.0,LR,,,,,,,liblinear,1.0
15,D_Augment_2.0,LR,,,,,,,liblinear,1.0
15,D_Augment_4.0,LR,,,,,,,liblinear,0.1
16,A_Baseline,RF,50.0,5.0,,,,,,
16,B_Fidelity,RF,200.0,2.0,10.0,,,,,
16,C_Scale,RF,200.0,5.0,,,,,,
16,D_Augment_0.5,RF,50.0,2.0,,,,,,
16,D_Augment_1.0,RF,200.0,2.0,10.0,,,,,
16,D_Augment_2.0,RF,200.0,5.0,,,,,,
16,D_Augment_4.0,RF,200.0,2.0,10.0,,,,,
16,A_Baseline,XGB,100.0,,3.0,0.01,,,,
16,B_Fidelity,XGB,100.0,,5.0,0.01,,,,
16,C_Scale,XGB,100.0,,3.0,0.01,,,,
16,D_Augment_0.5,XGB,50.0,,5.0,0.1,,,,
16,D_Augment_1.0,XGB,50.0,,5.0,0.1,,,,
16,D_Augment_2.0,XGB,100.0,,3.0,0.01,,,,
16,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
16,A_Baseline,KNN,,,,,uniform,5.0,,
16,B_Fidelity,KNN,,,,,uniform,5.0,,
16,C_Scale,KNN,,,,,distance,9.0,,
16,D_Augment_0.5,KNN,,,,,distance,9.0,,
16,D_Augment_1.0,KNN,,,,,uniform,5.0,,
16,D_Augment_2.0,KNN,,,,,uniform,5.0,,
16,D_Augment_4.0,KNN,,,,,distance,7.0,,
16,A_Baseline,LR,,,,,,,lbfgs,10.0
16,B_Fidelity,LR,,,,,,,lbfgs,10.0
16,C_Scale,LR,,,,,,,lbfgs,10.0
16,D_Augment_0.5,LR,,,,,,,lbfgs,10.0
16,D_Augment_1.0,LR,,,,,,,liblinear,0.1
16,D_Augment_2.0,LR,,,,,,,liblinear,1.0
16,D_Augment_4.0,LR,,,,,,,liblinear,1.0
17,A_Baseline,RF,200.0,5.0,,,,,,
17,B_Fidelity,RF,100.0,2.0,,,,,,
17,C_Scale,RF,200.0,5.0,,,,,,
17,D_Augment_0.5,RF,100.0,2.0,,,,,,
17,D_Augment_1.0,RF,50.0,5.0,,,,,,
17,D_Augment_2.0,RF,100.0,2.0,,,,,,
17,D_Augment_4.0,RF,50.0,5.0,,,,,,
17,A_Baseline,XGB,50.0,,5.0,0.1,,,,
17,B_Fidelity,XGB,100.0,,7.0,0.01,,,,
17,C_Scale,XGB,50.0,,5.0,0.1,,,,
17,D_Augment_0.5,XGB,100.0,,3.0,0.01,,,,
17,D_Augment_1.0,XGB,100.0,,3.0,0.01,,,,
17,D_Augment_2.0,XGB,100.0,,3.0,0.01,,,,
17,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
17,A_Baseline,KNN,,,,,distance,9.0,,
17,B_Fidelity,KNN,,,,,distance,7.0,,
17,C_Scale,KNN,,,,,uniform,5.0,,
17,D_Augment_0.5,KNN,,,,,distance,3.0,,
17,D_Augment_1.0,KNN,,,,,distance,3.0,,
17,D_Augment_2.0,KNN,,,,,distance,9.0,,
17,D_Augment_4.0,KNN,,,,,uniform,5.0,,
17,A_Baseline,LR,,,,,,,lbfgs,10.0
17,B_Fidelity,LR,,,,,,,lbfgs,0.1
17,C_Scale,LR,,,,,,,lbfgs,10.0
17,D_Augment_0.5,LR,,,,,,,lbfgs,0.1
17,D_Augment_1.0,LR,,,,,,,liblinear,1.0
17,D_Augment_2.0,LR,,,,,,,lbfgs,10.0
17,D_Augment_4.0,LR,,,,,,,lbfgs,0.1
18,A_Baseline,RF,50.0,2.0,,,,,,
18,B_Fidelity,RF,50.0,2.0,,,,,,
18,C_Scale,RF,100.0,2.0,,,,,,
18,D_Augment_0.5,RF,50.0,5.0,,,,,,
18,D_Augment_1.0,RF,200.0,2.0,10.0,,,,,
18,D_Augment_2.0,RF,200.0,5.0,,,,,,
18,D_Augment_4.0,RF,50.0,5.0,,,,,,
18,A_Baseline,XGB,50.0,,5.0,0.1,,,,
18,B_Fidelity,XGB,50.0,,5.0,0.1,,,,
18,C_Scale,XGB,50.0,,5.0,0.1,,,,
18,D_Augment_0.5,XGB,50.0,,5.0,0.1,,,,
18,D_Augment_1.0,XGB,50.0,,5.0,0.1,,,,
18,D_Augment_2.0,XGB,50.0,,5.0,0.1,,,,
18,D_Augment_4.0,XGB,50.0,,5.0,0.1,,,,
18,A_Baseline,KNN,,,,,distance,3.0,,
18,B_Fidelity,KNN,,,,,distance,7.0,,
18,C_Scale,KNN,,,,,distance,7.0,,
18,D_Augment_0.5,KNN,,,,,distance,3.0,,
18,D_Augment_1.0,KNN,,,,,uniform,5.0,,
18,D_Augment_2.0,KNN,,,,,distance,9.0,,
18,D_Augment_4.0,KNN,,,,,distance,7.0,,
18,A_Baseline,LR,,,,,,,lbfgs,10.0
18,B_Fidelity,LR,,,,,,,liblinear,0.1
18,C_Scale,LR,,,,,,,lbfgs,0.1
18,D_Augment_0.5,LR,,,,,,,liblinear,0.1
18,D_Augment_1.0,LR,,,,,,,liblinear,0.1
18,D_Augment_2.0,LR,,,,,,,liblinear,1.0
18,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
19,A_Baseline,RF,200.0,5.0,,,,,,
19,B_Fidelity,RF,50.0,2.0,,,,,,
19,C_Scale,RF,200.0,5.0,,,,,,
19,D_Augment_0.5,RF,100.0,2.0,,,,,,
19,D_Augment_1.0,RF,200.0,2.0,10.0,,,,,
19,D_Augment_2.0,RF,200.0,2.0,10.0,,,,,
19,D_Augment_4.0,RF,200.0,5.0,,,,,,
19,A_Baseline,XGB,100.0,,7.0,0.01,,,,
19,B_Fidelity,XGB,100.0,,5.0,0.01,,,,
19,C_Scale,XGB,50.0,,5.0,0.1,,,,
19,D_Augment_0.5,XGB,100.0,,7.0,0.01,,,,
19,D_Augment_1.0,XGB,100.0,,7.0,0.01,,,,
19,D_Augment_2.0,XGB,100.0,,3.0,0.01,,,,
19,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
19,A_Baseline,KNN,,,,,distance,7.0,,
19,B_Fidelity,KNN,,,,,distance,3.0,,
19,C_Scale,KNN,,,,,distance,9.0,,
19,D_Augment_0.5,KNN,,,,,uniform,5.0,,
19,D_Augment_1.0,KNN,,,,,distance,9.0,,
19,D_Augment_2.0,KNN,,,,,distance,7.0,,
19,D_Augment_4.0,KNN,,,,,distance,7.0,,
19,A_Baseline,LR,,,,,,,lbfgs,10.0
19,B_Fidelity,LR,,,,,,,lbfgs,10.0
19,C_Scale,LR,,,,,,,liblinear,0.1
19,D_Augment_0.5,LR,,,,,,,liblinear,1.0
19,D_Augment_1.0,LR,,,,,,,lbfgs,10.0
19,D_Augment_2.0,LR,,,,,,,liblinear,0.1
19,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
20,A_Baseline,RF,200.0,5.0,,,,,,
20,B_Fidelity,RF,200.0,5.0,,,,,,
20,C_Scale,RF,50.0,5.0,,,,,,
20,D_Augment_0.5,RF,50.0,2.0,,,,,,
20,D_Augment_1.0,RF,200.0,5.0,,,,,,
20,D_Augment_2.0,RF,200.0,2.0,10.0,,,,,
20,D_Augment_4.0,RF,200.0,5.0,,,,,,
20,A_Baseline,XGB,100.0,,3.0,0.01,,,,
20,B_Fidelity,XGB,100.0,,7.0,0.01,,,,
20,C_Scale,XGB,50.0,,3.0,0.01,,,,
20,D_Augment_0.5,XGB,100.0,,3.0,0.01,,,,
20,D_Augment_1.0,XGB,50.0,,5.0,0.1,,,,
20,D_Augment_2.0,XGB,50.0,,5.0,0.1,,,,
20,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
20,A_Baseline,KNN,,,,,distance,9.0,,
20,B_Fidelity,KNN,,,,,distance,9.0,,
20,C_Scale,KNN,,,,,distance,9.0,,
20,D_Augment_0.5,KNN,,,,,distance,7.0,,
20,D_Augment_1.0,KNN,,,,,uniform,5.0,,
20,D_Augment_2.0,KNN,,,,,distance,3.0,,
20,D_Augment_4.0,KNN,,,,,distance,7.0,,
20,A_Baseline,LR,,,,,,,liblinear,0.1
20,B_Fidelity,LR,,,,,,,lbfgs,0.1
20,C_Scale,LR,,,,,,,lbfgs,0.1
20,D_Augment_0.5,LR,,,,,,,liblinear,1.0
20,D_Augment_1.0,LR,,,,,,,lbfgs,10.0
20,D_Augment_2.0,LR,,,,,,,lbfgs,0.1
20,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
21,A_Baseline,RF,50.0,2.0,,,,,,
21,B_Fidelity,RF,50.0,5.0,,,,,,
21,C_Scale,RF,200.0,5.0,,,,,,
21,D_Augment_0.5,RF,200.0,2.0,10.0,,,,,
21,D_Augment_1.0,RF,200.0,5.0,,,,,,
21,D_Augment_2.0,RF,200.0,2.0,10.0,,,,,
21,D_Augment_4.0,RF,50.0,5.0,,,,,,
21,A_Baseline,XGB,100.0,,3.0,0.01,,,,
21,B_Fidelity,XGB,50.0,,3.0,0.01,,,,
21,C_Scale,XGB,50.0,,5.0,0.1,,,,
21,D_Augment_0.5,XGB,50.0,,3.0,0.01,,,,
21,D_Augment_1.0,XGB,50.0,,5.0,0.1,,,,
21,D_Augment_2.0,XGB,50.0,,5.0,0.1,,,,
21,D_Augment_4.0,XGB,50.0,,5.0,0.1,,,,
21,A_Baseline,KNN,,,,,distance,7.0,,
21,B_Fidelity,KNN,,,,,uniform,5.0,,
21,C_Scale,KNN,,,,,distance,7.0,,
21,D_Augment_0.5,KNN,,,,,distance,7.0,,
21,D_Augment_1.0,KNN,,,,,distance,9.0,,
21,D_Augment_2.0,KNN,,,,,distance,7.0,,
21,D_Augment_4.0,KNN,,,,,distance,7.0,,
21,A_Baseline,LR,,,,,,,lbfgs,10.0
21,B_Fidelity,LR,,,,,,,lbfgs,10.0
21,C_Scale,LR,,,,,,,lbfgs,10.0
21,D_Augment_0.5,LR,,,,,,,lbfgs,10.0
21,D_Augment_1.0,LR,,,,,,,lbfgs,10.0
21,D_Augment_2.0,LR,,,,,,,liblinear,1.0
21,D_Augment_4.0,LR,,,,,,,liblinear,1.0
22,A_Baseline,RF,50.0,5.0,,,,,,
22,B_Fidelity,RF,50.0,5.0,,,,,,
22,C_Scale,RF,200.0,5.0,,,,,,
22,D_Augment_0.5,RF,200.0,5.0,,,,,,
22,D_Augment_1.0,RF,200.0,5.0,,,,,,
22,D_Augment_2.0,RF,50.0,5.0,,,,,,
22,D_Augment_4.0,RF,200.0,5.0,,,,,,
22,A_Baseline,XGB,100.0,,3.0,0.01,,,,
22,B_Fidelity,XGB,100.0,,3.0,0.01,,,,
22,C_Scale,XGB,50.0,,5.0,0.1,,,,
22,D_Augment_0.5,XGB,50.0,,5.0,0.1,,,,
22,D_Augment_1.0,XGB,50.0,,5.0,0.1,,,,
22,D_Augment_2.0,XGB,50.0,,3.0,0.01,,,,
22,D_Augment_4.0,XGB,50.0,,5.0,0.1,,,,
22,A_Baseline,KNN,,,,,distance,9.0,,
22,B_Fidelity,KNN,,,,,distance,9.0,,
22,C_Scale,KNN,,,,,distance,9.0,,
22,D_Augment_0.5,KNN,,,,,uniform,5.0,,
22,D_Augment_1.0,KNN,,,,,distance,7.0,,
22,D_Augment_2.0,KNN,,,,,distance,9.0,,
22,D_Augment_4.0,KNN,,,,,distance,7.0,,
22,A_Baseline,LR,,,,,,,liblinear,0.1
22,B_Fidelity,LR,,,,,,,liblinear,1.0
22,C_Scale,LR,,,,,,,lbfgs,10.0
22,D_Augment_0.5,LR,,,,,,,liblinear,1.0
22,D_Augment_1.0,LR,,,,,,,liblinear,0.1
22,D_Augment_2.0,LR,,,,,,,liblinear,0.1
22,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
23,A_Baseline,RF,200.0,5.0,,,,,,
23,B_Fidelity,RF,200.0,5.0,,,,,,
23,C_Scale,RF,50.0,5.0,,,,,,
23,D_Augment_0.5,RF,100.0,2.0,,,,,,
23,D_Augment_1.0,RF,50.0,5.0,,,,,,
23,D_Augment_2.0,RF,50.0,5.0,,,,,,
23,D_Augment_4.0,RF,50.0,5.0,,,,,,
23,A_Baseline,XGB,100.0,,3.0,0.01,,,,
23,B_Fidelity,XGB,50.0,,5.0,0.1,,,,
23,C_Scale,XGB,50.0,,5.0,0.1,,,,
23,D_Augment_0.5,XGB,100.0,,3.0,0.01,,,,
23,D_Augment_1.0,XGB,50.0,,5.0,0.1,,,,
23,D_Augment_2.0,XGB,100.0,,5.0,0.01,,,,
23,D_Augment_4.0,XGB,50.0,,5.0,0.1,,,,
23,A_Baseline,KNN,,,,,uniform,5.0,,
23,B_Fidelity,KNN,,,,,distance,9.0,,
23,C_Scale,KNN,,,,,uniform,5.0,,
23,D_Augment_0.5,KNN,,,,,uniform,3.0,,
23,D_Augment_1.0,KNN,,,,,distance,7.0,,
23,D_Augment_2.0,KNN,,,,,distance,3.0,,
23,D_Augment_4.0,KNN,,,,,uniform,5.0,,
23,A_Baseline,LR,,,,,,,liblinear,1.0
23,B_Fidelity,LR,,,,,,,lbfgs,10.0
23,C_Scale,LR,,,,,,,liblinear,1.0
23,D_Augment_0.5,LR,,,,,,,lbfgs,10.0
23,D_Augment_1.0,LR,,,,,,,lbfgs,10.0
23,D_Augment_2.0,LR,,,,,,,lbfgs,0.1
23,D_Augment_4.0,LR,,,,,,,lbfgs,0.1
24,A_Baseline,RF,100.0,2.0,,,,,,
24,B_Fidelity,RF,50.0,5.0,,,,,,
24,C_Scale,RF,50.0,5.0,,,,,,
24,D_Augment_0.5,RF,200.0,5.0,,,,,,
24,D_Augment_1.0,RF,200.0,5.0,,,,,,
24,D_Augment_2.0,RF,50.0,5.0,,,,,,
24,D_Augment_4.0,RF,50.0,5.0,,,,,,
24,A_Baseline,XGB,50.0,,5.0,0.1,,,,
24,B_Fidelity,XGB,50.0,,5.0,0.1,,,,
24,C_Scale,XGB,100.0,,3.0,0.01,,,,
24,D_Augment_0.5,XGB,100.0,,3.0,0.01,,,,
24,D_Augment_1.0,XGB,100.0,,5.0,0.01,,,,
24,D_Augment_2.0,XGB,50.0,,5.0,0.1,,,,
24,D_Augment_4.0,XGB,50.0,,3.0,0.01,,,,
24,A_Baseline,KNN,,,,,distance,7.0,,
24,B_Fidelity,KNN,,,,,distance,9.0,,
24,C_Scale,KNN,,,,,distance,9.0,,
24,D_Augment_0.5,KNN,,,,,distance,7.0,,
24,D_Augment_1.0,KNN,,,,,distance,3.0,,
24,D_Augment_2.0,KNN,,,,,distance,7.0,,
24,D_Augment_4.0,KNN,,,,,uniform,3.0,,
24,A_Baseline,LR,,,,,,,liblinear,1.0
24,B_Fidelity,LR,,,,,,,lbfgs,10.0
24,C_Scale,LR,,,,,,,lbfgs,0.1
24,D_Augment_0.5,LR,,,,,,,liblinear,0.1
24,D_Augment_1.0,LR,,,,,,,lbfgs,0.1
24,D_Augment_2.0,LR,,,,,,,lbfgs,10.0
24,D_Augment_4.0,LR,,,,,,,lbfgs,0.1
25,A_Baseline,RF,50.0,5.0,,,,,,
25,B_Fidelity,RF,200.0,5.0,,,,,,
25,C_Scale,RF,200.0,2.0,10.0,,,,,
25,D_Augment_0.5,RF,100.0,2.0,,,,,,
25,D_Augment_1.0,RF,50.0,5.0,,,,,,
25,D_Augment_2.0,RF,200.0,5.0,,,,,,
25,D_Augment_4.0,RF,200.0,2.0,10.0,,,,,
25,A_Baseline,XGB,100.0,,7.0,0.01,,,,
25,B_Fidelity,XGB,50.0,,3.0,0.01,,,,
25,C_Scale,XGB,50.0,,5.0,0.1,,,,
25,D_Augment_0.5,XGB,50.0,,3.0,0.01,,,,
25,D_Augment_1.0,XGB,50.0,,5.0,0.1,,,,
25,D_Augment_2.0,XGB,50.0,,5.0,0.1,,,,
25,D_Augment_4.0,XGB,50.0,,5.0,0.1,,,,
25,A_Baseline,KNN,,,,,uniform,3.0,,
25,B_Fidelity,KNN,,,,,distance,9.0,,
25,C_Scale,KNN,,,,,distance,7.0,,
25,D_Augment_0.5,KNN,,,,,distance,9.0,,
25,D_Augment_1.0,KNN,,,,,distance,9.0,,
25,D_Augment_2.0,KNN,,,,,distance,7.0,,
25,D_Augment_4.0,KNN,,,,,distance,7.0,,
25,A_Baseline,LR,,,,,,,liblinear,1.0
25,B_Fidelity,LR,,,,,,,lbfgs,10.0
25,C_Scale,LR,,,,,,,lbfgs,10.0
25,D_Augment_0.5,LR,,,,,,,lbfgs,0.1
25,D_Augment_1.0,LR,,,,,,,lbfgs,0.1
25,D_Augment_2.0,LR,,,,,,,liblinear,0.1
25,D_Augment_4.0,LR,,,,,,,lbfgs,0.1
